Marcus Aurelius|Waste no more time arguing about what a good person should be. Be one.
Marcus Aurelius|The happiness of your life depends upon the quality of your thoughts.
Marcus Aurelius|You have power over your mind, not outside events. Realize this, and you will find strength.
Marcus Aurelius|Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.
Marcus Aurelius|The soul becomes dyed with the color of its thoughts.
Marcus Aurelius|Very little is needed to make a happy life; it is all within yourself, in your way of thinking.
Marcus Aurelius|The best revenge is to be unlike him who performed the injury.
Marcus Aurelius|Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.
Marcus Aurelius|When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love.
Marcus Aurelius|The art of living is more like wrestling than dancing.
Winston Churchill|Success is not final, failure is not fatal: It is the courage to continue that counts.
Winston Churchill|We make a living by what we get, but we make a life by what we give.
Winston Churchill|The price of greatness is responsibility.
Winston Churchill|A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty.
Winston Churchill|Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.
Winston Churchill|To improve is to change; to be perfect is to change often.
Winston Churchill|The best argument against democracy is a five-minute conversation with the average voter.
Winston Churchill|Success consists of going from failure to failure without loss of enthusiasm.
Winston Churchill|The empires of the future are the empires of the mind.
Winston Churchill|You have enemies? Good. That means you've stood up for something, sometime in your life.
